"","nombre_familia","numero_contratos","numero_entidades","numero_contratistas","contratos_cerrados","contratos_adicion","IHH_frecuencia","IHH_valor","DN","puntaje_concentracion"
"193","Refrigeración industrial",53,42,42,0.716981132075472,0.0566037735849057,380.918476326095,2430.47876490129,0.0195936139332366,1405.69862061369
"194","Equipo industrial de lavandería y lavado en seco",102,61,72,0.833333333333333,0.166666666666667,215.301806997309,2654.4500090247,0.0118423607066589,1434.875908011
"195","Adornos para el hogar",25,11,20,0.96,0,752,2163.56993209934,0.0366666666666667,1457.78496604967
"196","Pinturas y bases y acabados",157,32,64,0.923566878980892,0,2033.75390482372,935.895510969389,0.198268822472644,1484.82470789656
"197","Vegetales secos",25,13,17,0.76,0.08,976,2020.0493283265,0.06,1498.02466416325
"198","Productos para los servicios médicos de urgencias y campo",1478,327,614,0.738159675236806,0.098105548037889,63.3193010340199,2968.04787377791,0.00565916905404749,1515.68358740596
"199","Servicios profesionales de ingeniería",2063,390,1221,0.806592341250606,0.0814348036839554,21.5626570588273,3012.37042362591,0.00167234536917365,1516.96654034237
"200","Ensambles de tubería fabricada",22,7,17,0.909090909090909,0,785.123966942149,2257.88987477735,0.0346320346320346,1521.50692085975
"201","Baterías y generadores y transmisión de energía cinética",299,63,119,0.939799331103679,0.00668896321070234,1554.68059641391,1533.86660800849,0.15263405984153,1544.2736022112
"202","Productos para el control de plagas",39,29,31,0.743589743589744,0.0512820512820513,374.753451676529,2786.27810296303,0.0121457489878543,1580.51577731978
"203","Vegetales frescos",238,27,40,0.920168067226891,0.0546218487394958,2489.93715133112,718.20498093548,0.245824912243378,1604.0710661333
"204","Materiales estructurales",31,15,20,0.838709677419355,0,822.060353798127,2443.3944814513,0.0516129032258065,1632.72741762471
"205","Decoraciones y suministros del aula",34,10,16,0.882352941176471,0,1782.00692041522,1507.46871802518,0.153297682709447,1644.7378192202
"206","Preparación, gestión y protección del terreno y del suelo",22,17,20,0.772727272727273,0.0454545454545455,537.190082644628,2763.02958388696,0.00865800865800866,1650.1098332658
"207","Servicios de seguros y pensiones",2367,314,219,0.80397127165188,0.0498521335023236,1753.39555702628,1707.13800450299,0.174991009445528,1730.26678076463
"208","Productos medicinales de deportes y ortopédicos y prótesis",2287,66,155,0.984696108439003,0.0607783121993878,2859.80778794001,676.211234208748,0.285668434427769,1768.00951107438
"209","Dispositivo semiconductor discreto",24,13,23,0.833333333333333,0,451.388888888889,3089.17481227329,0.0036231884057971,1770.28185058109
"210","Empaques, glándulas, fundas y cubiertas",23,15,22,0.826086956521739,0,472.589792060492,3177.87408609099,0.00395256916996047,1825.23193907574
"211","Hormigón, cemento y yeso",58,11,19,0.948275862068966,0,2193.81688466112,1478.2970263484,0.205686630369026,1836.05695550476
"212","Papel para uso industrial",57,29,47,0.894736842105263,0.105263157894737,261.618959679901,3431.31284712471,0.0087719298245614,1846.4659034023
"213","Servicios de animales vivos",83,14,57,0.228915662650602,0.0240963855421687,224.996371026274,3501.47003544953,0.0105789009697326,1863.2332032379
